Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (1),Zone_ZoneSensor stair,Zone_ZoneSensor stair (9),Zone_ZoneSensor (1),Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (8),Zone_ZoneSensor stair (10)
0.00,0,1000,0.0000,484,251,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
1.38,0,1000,0.0015,484,251,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
2.76,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
4.20,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
5.57,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
6.92,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
8.28,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
9.65,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
11.05,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
12.48,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
13.86,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
15.25,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
16.60,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
17.96,1,999,0.0000,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
19.34,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
20.71,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
22.03,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
23.37,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
24.81,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
26.20,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
27.56,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
28.92,1,999,0.0015,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
30.28,1,999,0.0012,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
31.64,1,999,0.0007,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
33.00,1,999,0.0002,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
34.45,1,999,0.0019,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
35.79,1,999,0.0020,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
37.13,1,999,0.0030,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
38.51,1,999,0.0034,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
39.92,1,999,0.0030,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
41.25,1,999,0.0030,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
42.91,1,999,0.0030,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
44.28,1,999,0.0046,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
45.63,1,999,0.0042,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
46.99,1,999,0.0042,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
48.33,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
49.75,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
51.11,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
52.47,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
53.85,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
55.25,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
56.63,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
58.02,1,999,0.0042,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
59.39,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
60.75,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
62.11,1,999,0.0045,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
63.48,1,999,0.0060,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
64.88,1,999,0.0060,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
66.24,1,999,0.0057,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
67.69,1,999,0.0057,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
69.10,1,999,0.0055,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
70.20,1,999,0.0055,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
71.32,1,999,0.0060,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
72.74,1,999,0.0060,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
74.15,1,999,0.0059,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
75.51,1,999,0.0059,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
76.89,1,999,0.0059,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
78.28,1,999,0.0056,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
79.64,1,999,0.0056,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
80.99,1,999,0.0073,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
82.36,1,999,0.0070,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
83.74,1,999,0.0070,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
85.12,1,999,0.0073,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
86.48,1,999,0.0070,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
87.83,1,999,0.0074,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
89.22,1,999,0.0074,484,250,273,89,387,0,0,0,484,0,0,0,0,0,0,0,0
90.61,1,999,0.0073,484,250,273,90,386,0,0,0,484,0,0,0,0,0,0,2,0
92.01,1,999,0.0072,484,250,273,90,386,0,0,0,484,0,0,0,0,0,0,0,0
93.42,1,999,0.0072,484,250,273,91,385,0,0,0,484,0,0,0,0,0,0,2,0
94.80,1,999,0.0074,484,250,273,91,385,0,0,0,484,0,0,0,0,0,0,0,0
96.18,1,999,0.0072,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,2,0
97.55,1,999,0.0073,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
98.99,1,999,0.0090,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
100.36,1,999,0.0091,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
101.72,1,999,0.0088,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
103.09,1,999,0.0085,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
104.50,1,999,0.0087,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
105.86,1,999,0.0085,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
107.22,1,999,0.0088,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
108.61,1,999,0.0090,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
110.03,1,999,0.0091,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
111.42,1,999,0.0092,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
112.84,1,999,0.0091,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
114.25,1,999,0.0095,484,250,273,92,384,0,0,0,484,0,0,0,2,0,0,0,0
115.62,1,999,0.0093,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
116.99,1,999,0.0104,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
118.33,1,999,0.0123,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
119.73,1,999,0.0123,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
121.14,1,999,0.0120,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
122.42,1,999,0.0126,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
123.77,1,999,0.0133,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
125.15,1,999,0.0136,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
126.54,1,999,0.0135,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
127.89,1,999,0.0137,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
129.26,1,999,0.0130,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
130.61,1,999,0.0129,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
131.96,1,999,0.0126,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
133.31,1,999,0.0139,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
134.68,1,999,0.0137,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
135.91,1,999,0.0141,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
137.26,1,999,0.0155,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
138.61,1,999,0.0148,484,250,273,92,384,0,0,0,484,0,0,0,0,0,0,0,0
140.00,2,998,0.0133,484,250,273,91,384,0,0,0,484,0,0,0,0,0,0,0,0
141.41,2,998,0.0146,484,250,273,91,384,0,0,0,484,0,0,0,0,0,0,0,0
142.80,3,997,0.0122,484,250,273,91,383,0,0,0,484,0,0,0,0,0,0,2,0
144.19,3,997,0.0122,484,250,273,91,383,0,0,0,484,0,0,0,0,0,0,2,0
145.61,4,996,0.0108,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
147.01,4,996,0.0110,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
148.36,4,996,0.0110,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
149.73,4,996,0.0110,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
151.07,4,996,0.0105,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
152.42,4,996,0.0104,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
153.81,4,996,0.0109,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
155.19,4,996,0.0125,484,250,273,90,383,0,0,0,484,0,0,0,0,0,0,0,0
156.54,4,996,0.0125,486,250,273,90,383,0,0,0,486,0,0,0,0,0,0,0,0
157.88,4,996,0.0125,486,250,273,90,383,0,0,0,486,0,0,0,0,0,0,0,0
159.23,4,996,0.0125,488,250,273,90,383,0,0,0,488,0,0,0,0,0,0,0,0
160.59,5,995,0.0108,486,250,273,90,382,0,0,0,486,0,0,0,2,0,0,0,0
162.00,5,995,0.0107,486,250,273,90,382,0,0,0,486,0,0,0,2,0,0,0,0
163.38,5,995,0.0111,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
164.76,5,995,0.0107,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
166.13,5,995,0.0109,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
167.47,5,995,0.0127,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
168.81,5,995,0.0124,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
170.19,5,995,0.0124,486,250,273,90,382,0,0,0,486,0,0,0,0,0,0,0,0
171.56,6,994,0.0123,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
172.92,6,994,0.0123,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
174.30,6,994,0.0123,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
175.69,6,994,0.0117,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
177.02,6,994,0.0115,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
178.35,6,994,0.0119,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
179.71,6,994,0.0114,486,250,273,90,381,0,0,0,486,0,0,0,0,0,0,0,0
181.11,6,994,0.0120,486,250,273,91,380,0,0,2,486,0,0,0,0,0,0,0,0
182.46,6,994,0.0123,486,250,273,91,380,0,0,0,486,0,0,0,0,0,0,0,0
183.69,6,994,0.0141,486,250,273,91,380,0,0,0,486,0,0,0,0,0,0,0,0
185.05,6,994,0.0144,486,250,273,91,380,0,0,0,486,0,0,0,0,0,0,0,0
186.44,6,994,0.0137,486,250,273,92,379,0,0,0,486,0,0,0,0,0,0,2,0
188.17,6,994,0.0150,486,250,273,92,379,0,0,0,486,0,0,0,0,0,0,2,0
189.52,6,994,0.0149,486,250,273,92,379,0,0,0,486,0,0,0,0,0,0,0,0
190.90,6,994,0.0168,486,249,273,92,379,0,0,0,486,2,0,0,0,0,0,0,0
192.26,7,993,0.0147,486,249,273,92,379,0,0,0,486,2,0,0,0,0,0,0,0
193.72,7,993,0.0140,486,249,273,92,379,0,0,0,486,2,0,0,0,0,0,0,0
194.85,8,992,0.0119,486,249,273,91,379,0,0,0,486,2,0,0,0,0,0,0,0
196.24,8,992,0.0129,486,249,273,91,379,0,0,0,486,2,0,0,0,0,0,0,0
197.59,8,992,0.0134,486,249,273,91,379,0,0,0,486,2,0,0,0,0,0,2,0
198.98,8,992,0.0154,486,249,273,91,379,0,0,0,486,2,0,0,0,0,0,2,0
200.33,8,992,0.0164,486,249,273,91,379,0,0,0,486,2,0,0,0,2,0,0,0
201.66,8,992,0.0157,486,249,273,91,379,0,0,0,486,2,0,0,0,2,0,0,0
202.99,8,992,0.0146,486,249,273,91,379,0,0,0,486,2,0,0,0,2,0,0,0
204.35,8,992,0.0157,486,249,273,92,378,0,0,2,486,2,0,0,2,2,0,0,0
205.72,8,992,0.0152,486,249,273,92,378,0,0,2,486,2,0,0,2,0,0,0,0
207.10,8,992,0.0152,486,249,273,92,378,0,0,0,486,2,0,0,0,0,0,0,0
208.48,8,992,0.0156,486,249,273,92,378,0,0,0,486,2,0,0,0,0,0,0,0
209.83,8,992,0.0161,486,249,273,92,378,0,0,0,486,2,0,0,0,0,0,0,0
211.20,8,992,0.0168,486,249,273,92,378,0,0,0,486,2,0,0,0,0,0,0,0
212.53,8,992,0.0159,486,249,273,92,378,0,0,0,486,2,0,0,0,0,0,0,0
213.90,8,992,0.0158,486,249,273,93,377,0,0,2,486,2,0,0,0,0,0,0,0
215.28,8,992,0.0153,486,249,273,93,377,0,0,2,486,2,0,0,2,0,0,0,0
216.63,8,992,0.0158,486,249,273,93,377,0,0,0,486,2,0,0,2,0,0,0,0
217.98,8,992,0.0182,486,249,273,93,377,0,0,0,486,2,0,0,0,2,0,0,0
219.31,8,992,0.0177,486,249,273,93,377,0,0,0,486,2,0,0,0,2,0,0,0
220.68,8,992,0.0178,486,249,273,93,377,0,0,0,486,2,0,0,0,2,0,0,0
222.10,8,992,0.0171,486,249,273,93,377,0,0,0,486,2,0,0,0,2,0,2,0
223.12,8,992,0.0164,486,249,273,94,376,0,0,0,486,2,0,0,0,2,0,4,0
224.49,8,992,0.0174,486,249,273,94,376,0,0,0,486,2,0,0,0,0,0,2,0
225.88,8,992,0.0172,486,249,273,94,376,0,0,0,486,2,0,0,0,0,0,0,0
227.22,8,992,0.0186,486,249,273,94,376,0,0,0,486,2,0,0,0,0,0,0,0
228.58,8,992,0.0179,486,249,273,94,376,0,0,0,486,2,0,0,0,0,0,0,0
229.97,9,991,0.0165,486,249,272,94,376,0,0,0,486,2,0,0,0,0,0,0,0
231.37,9,991,0.0157,486,249,272,94,376,0,0,0,486,2,0,0,0,0,0,2,0
232.77,9,991,0.0151,486,249,272,94,376,0,0,0,486,2,0,0,0,0,0,2,0
233.95,9,991,0.0158,486,249,272,94,376,0,0,0,486,2,0,0,0,0,0,0,0
235.30,9,991,0.0175,486,249,272,94,376,0,0,0,486,2,0,0,0,0,0,0,0
236.66,10,990,0.0163,486,249,272,93,376,0,0,0,486,2,0,0,0,0,0,0,0
238.02,10,990,0.0174,486,249,272,93,376,0,0,0,486,2,0,0,0,0,0,0,0
239.38,10,990,0.0160,486,249,272,93,376,0,0,0,486,2,0,0,2,0,0,0,0
240.78,10,990,0.0176,486,249,272,93,376,0,0,0,486,2,0,0,4,0,0,0,0
242.38,10,990,0.0180,486,248,272,93,376,0,0,0,486,4,0,0,2,0,0,0,0
243.76,11,989,0.0174,486,248,272,93,376,0,0,0,486,4,0,0,0,0,0,0,0
245.13,11,989,0.0184,486,248,272,93,376,0,0,0,486,4,0,0,0,0,0,0,0
246.51,12,988,0.0177,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
247.85,12,988,0.0173,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
249.24,12,988,0.0176,486,248,272,92,376,0,0,0,486,4,0,0,2,0,0,0,0
250.65,12,988,0.0190,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
252.05,12,988,0.0191,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
253.41,12,988,0.0185,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
254.74,12,988,0.0184,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
256.10,12,988,0.0185,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
257.42,12,988,0.0185,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
258.76,12,988,0.0184,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
260.10,12,988,0.0174,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
261.28,12,988,0.0192,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
262.64,12,988,0.0195,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
263.98,12,988,0.0184,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
265.32,12,988,0.0183,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
266.72,12,988,0.0184,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
268.05,12,988,0.0180,486,248,272,92,376,0,0,0,486,4,0,0,0,0,0,0,0
269.40,12,988,0.0181,486,248,272,92,376,0,0,0,486,4,0,2,0,0,0,0,0
270.82,14,986,0.0162,486,248,271,91,376,0,0,0,486,4,0,2,0,0,0,0,0
272.20,15,985,0.0142,486,248,271,91,375,0,0,0,486,4,0,2,2,0,0,0,0
273.20,15,985,0.0142,486,248,271,91,375,0,0,0,486,4,0,2,2,0,0,0,0
274.91,15,985,0.0147,486,248,271,91,375,0,0,0,486,4,0,2,2,0,0,0,0
276.29,15,985,0.0169,486,248,271,91,375,0,0,0,486,4,0,0,0,0,0,0,0
277.61,15,985,0.0147,486,248,271,91,375,0,0,0,486,4,0,0,0,0,0,0,0
278.93,15,985,0.0172,486,248,271,91,375,0,0,0,486,4,0,0,0,0,0,0,0
280.25,16,984,0.0148,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,0,0
281.66,16,984,0.0155,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,0,0
283.01,16,984,0.0151,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,2,0
284.36,16,984,0.0167,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,2,0
285.72,16,984,0.0180,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,0,0
287.08,16,984,0.0193,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,0,0
288.41,16,984,0.0191,486,248,271,90,375,0,0,0,486,4,0,0,0,0,0,0,0
289.78,17,983,0.0167,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
291.21,18,982,0.0162,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
292.57,18,982,0.0150,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
293.98,18,982,0.0179,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
295.35,18,982,0.0148,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
296.73,18,982,0.0149,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
297.97,18,982,0.0158,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
299.14,18,982,0.0172,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
300.51,18,982,0.0191,486,247,270,90,375,0,0,0,486,6,0,0,2,0,0,0,0
301.89,18,982,0.0183,486,247,270,90,375,0,0,0,486,6,0,0,2,0,0,0,0
303.23,18,982,0.0163,486,247,270,90,375,0,0,0,486,6,0,0,0,0,0,0,0
304.55,19,981,0.0174,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
305.95,19,981,0.0184,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
307.28,19,981,0.0180,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
308.61,19,981,0.0191,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
309.94,19,981,0.0195,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
311.31,19,981,0.0188,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
312.65,19,981,0.0180,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
313.99,19,981,0.0197,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
315.34,19,981,0.0193,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
316.74,19,981,0.0191,486,247,270,89,375,0,0,0,486,6,0,2,0,0,0,0,0
318.08,19,981,0.0198,486,247,270,89,375,0,0,0,486,6,0,2,0,0,0,0,0
319.44,19,981,0.0191,486,247,270,89,375,0,0,0,486,6,0,2,0,0,0,0,0
320.80,19,981,0.0189,486,247,270,89,375,0,0,0,486,6,0,2,0,0,0,0,0
322.15,19,981,0.0185,486,247,270,89,375,0,0,0,486,6,0,2,0,0,0,0,0
323.49,19,981,0.0206,486,247,270,89,375,0,0,0,486,6,0,0,0,0,0,0,0
324.82,20,980,0.0210,486,247,270,89,374,0,0,0,486,6,0,0,0,0,0,0,0
326.18,20,980,0.0211,488,247,270,89,374,0,0,0,488,6,0,0,0,0,0,0,0
327.58,21,979,0.0203,488,247,270,89,373,0,0,0,488,6,0,0,0,0,0,0,0
328.96,22,978,0.0185,488,247,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
330.33,22,978,0.0209,488,247,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
331.73,22,978,0.0228,488,247,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
333.07,22,978,0.0215,488,246,271,88,373,0,0,0,488,6,0,0,0,0,2,0,0
334.41,22,978,0.0216,488,246,271,88,373,0,0,0,488,6,0,0,0,0,2,0,0
335.77,23,977,0.0187,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
337.17,23,977,0.0195,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
338.40,23,977,0.0196,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
339.74,23,977,0.0206,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
341.12,23,977,0.0196,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
342.49,23,977,0.0203,488,246,270,88,373,0,0,0,488,6,0,0,0,0,0,0,0
343.82,23,977,0.0197,488,246,270,89,372,0,0,0,488,6,0,0,0,0,0,2,0
345.15,23,977,0.0196,488,246,270,89,372,0,0,0,488,6,0,0,0,0,0,2,0
346.55,23,977,0.0190,488,246,270,89,372,0,0,0,488,6,0,0,0,0,0,0,0
347.91,23,977,0.0182,488,245,271,89,372,0,0,0,488,6,0,0,0,2,2,0,0
349.22,23,977,0.0210,488,245,271,89,372,0,0,0,488,6,0,0,0,2,2,0,0
350.57,23,977,0.0195,488,245,271,89,372,2,0,0,488,6,0,0,0,2,0,0,0
351.95,23,977,0.0211,488,245,271,89,372,2,0,0,488,6,0,0,0,2,0,0,0
353.32,23,977,0.0207,488,245,271,89,372,0,0,0,488,6,0,0,0,2,0,0,0
355.00,23,977,0.0209,488,245,271,89,372,0,0,0,488,6,0,0,0,0,0,0,0
356.06,23,977,0.0205,488,245,271,89,372,0,0,0,488,6,0,0,0,0,0,0,0
357.39,23,977,0.0208,488,245,271,89,372,0,0,0,488,6,0,0,0,0,0,0,0
358.73,23,977,0.0215,488,245,271,89,372,0,0,0,488,6,0,0,0,0,0,0,0
360.13,23,977,0.0208,488,244,271,89,372,0,0,0,488,8,0,0,0,0,0,0,0
361.18,24,976,0.0197,488,244,271,89,372,0,0,0,488,8,0,0,2,0,0,0,0
362.57,24,976,0.0195,488,244,271,89,372,0,0,0,488,8,0,0,2,0,0,0,0
363.90,24,976,0.0190,488,244,271,89,372,0,0,0,488,8,0,0,0,0,0,0,0
365.22,24,976,0.0207,488,244,271,89,372,2,0,0,488,8,0,0,0,0,0,0,0
366.62,24,976,0.0198,488,244,271,89,372,2,0,0,488,8,0,0,0,0,0,0,0
367.96,24,976,0.0187,488,243,271,89,372,0,2,0,488,10,0,0,0,0,0,0,0
369.31,25,975,0.0194,488,243,271,89,372,0,2,0,488,10,0,0,0,0,0,0,0
370.68,25,975,0.0206,488,243,271,89,372,0,0,0,488,10,0,0,0,0,0,0,0
372.06,25,975,0.0218,488,243,271,89,372,0,0,0,488,10,0,0,0,0,0,0,0
373.39,25,975,0.0209,488,242,271,89,372,0,0,0,488,12,0,0,0,0,0,0,0
374.72,25,975,0.0221,488,242,271,89,372,0,0,0,488,12,0,0,0,0,0,0,0
376.13,26,974,0.0210,488,241,271,89,372,0,0,0,488,14,0,0,0,0,0,0,0
377.52,26,974,0.0202,488,241,271,89,372,0,0,0,488,14,0,0,0,0,0,0,0
378.85,27,973,0.0194,488,241,271,89,372,0,0,0,488,14,0,0,0,0,0,0,0
380.21,27,973,0.0197,488,241,271,89,372,0,0,0,488,14,0,0,0,0,0,0,0
381.64,27,973,0.0186,488,240,271,89,372,0,0,0,488,16,0,4,0,0,0,0,0
383.05,28,972,0.0172,488,240,271,89,372,0,2,0,488,16,0,4,0,0,0,0,0
384.44,28,972,0.0172,488,240,271,89,372,0,2,0,488,16,0,4,0,0,0,0,0
385.78,28,972,0.0181,488,240,271,89,372,0,0,0,488,16,0,4,0,0,0,0,0
387.10,28,972,0.0187,488,240,271,89,372,0,0,0,488,16,0,4,0,0,0,0,0
388.43,28,972,0.0178,488,240,271,89,372,0,0,0,488,16,0,0,0,0,0,0,0
389.74,28,972,0.0169,488,240,271,89,372,0,0,0,488,16,0,0,0,0,0,0,0
391.08,28,972,0.0163,488,240,271,89,372,0,0,0,488,16,0,0,0,0,0,0,0
392.41,28,972,0.0165,488,240,271,89,372,0,0,0,488,16,0,0,0,0,0,0,0
393.65,29,971,0.0152,488,240,271,88,372,0,0,0,488,16,0,0,0,0,0,0,0
394.97,29,971,0.0180,488,240,271,88,372,0,0,0,488,16,0,0,0,0,0,0,0
