Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor (1),Zone_ZoneSensor stair (4)_noSmartSign
0.00,0,1000,0.0000,0,221,94,232,89,364,0,0
1.02,6,994,0.3079,0,216,93,232,89,364,0,0
2.02,7,993,0.3025,0,215,93,232,89,364,0,0
3.02,9,991,0.3211,0,213,93,232,89,364,0,0
4.03,14,986,0.3110,0,208,93,232,89,364,0,0
5.07,17,983,0.3043,0,205,93,232,89,364,0,0
6.11,20,980,0.3045,0,202,93,232,89,364,0,0
7.11,24,976,0.3009,0,198,93,232,89,364,0,0
8.13,28,972,0.3082,0,194,93,232,89,364,0,0
9.16,32,968,0.3059,0,190,93,232,89,364,0,0
10.19,35,965,0.2924,0,187,93,232,89,364,0,0
11.20,38,962,0.2903,0,184,93,232,89,364,0,0
12.24,38,962,0.2865,0,184,93,232,89,364,0,0
13.25,38,962,0.3147,0,184,93,232,89,364,0,0
14.26,38,962,0.3000,0,184,93,232,89,364,0,0
15.29,38,962,0.3017,0,184,93,232,89,364,0,0
16.30,38,962,0.3124,0,184,93,232,89,364,0,0
17.33,38,962,0.3089,0,184,93,232,89,364,0,0
18.37,38,962,0.3021,0,184,93,232,89,364,0,0
19.41,38,962,0.3051,0,184,93,232,89,364,0,0
20.44,38,962,0.3037,0,184,93,232,89,364,0,0
21.48,38,962,0.3066,0,184,93,232,89,364,0,0
22.49,39,961,0.3106,0,183,93,232,89,364,0,0
23.51,39,961,0.3162,0,183,93,232,89,364,0,0
24.53,39,961,0.3318,0,183,93,232,89,364,0,0
25.56,41,959,0.3183,0,181,93,232,89,364,0,0
26.59,42,958,0.3168,0,180,93,232,89,364,0,0
27.62,42,958,0.3191,0,180,93,232,89,364,0,0
28.64,42,958,0.3205,0,180,93,232,89,364,0,0
29.68,42,958,0.3215,0,180,93,232,89,364,0,0
30.72,43,957,0.3147,0,179,93,232,89,364,0,0
31.75,43,957,0.3157,0,179,93,232,89,364,0,0
32.80,44,956,0.3182,2,178,93,232,89,364,0,2
33.80,45,955,0.3248,2,177,93,232,89,364,0,2
34.84,45,955,0.3173,2,177,93,232,89,364,0,2
35.86,45,955,0.3319,4,177,93,232,89,364,0,4
36.87,46,954,0.3288,6,176,93,232,89,364,0,6
37.87,47,953,0.3226,6,175,93,232,89,364,0,6
38.89,48,952,0.3281,4,174,93,232,89,364,0,4
39.90,49,951,0.3336,4,173,93,232,89,364,0,4
40.92,50,950,0.3480,2,172,93,232,89,364,2,2
41.94,53,947,0.3316,2,170,93,232,89,363,2,2
42.95,54,946,0.3381,2,169,93,232,89,363,2,0
43.98,56,944,0.3336,2,167,93,232,89,363,2,0
45.00,58,942,0.3296,2,165,93,232,89,363,2,0
46.01,60,940,0.3329,2,164,93,231,89,363,2,0
47.06,62,938,0.3209,2,162,93,231,89,363,2,2
48.09,63,937,0.3256,2,161,93,231,89,363,2,2
49.11,64,936,0.3228,2,160,93,231,89,363,2,2
50.11,65,935,0.3427,2,160,92,231,89,363,2,2
51.13,66,934,0.3358,2,159,92,231,89,363,2,2
52.14,67,933,0.3281,2,158,92,231,89,363,2,0
53.16,68,932,0.3439,2,157,92,231,89,363,2,0
54.19,69,931,0.3359,2,156,92,231,89,363,2,0
55.19,71,929,0.3478,2,155,91,231,89,363,2,0
56.21,73,927,0.3373,6,154,91,230,89,363,6,0
57.27,76,924,0.3376,6,152,91,230,89,362,6,0
58.29,79,921,0.3393,6,150,91,230,89,361,6,0
59.33,82,918,0.3318,6,147,91,230,89,361,6,0
60.34,84,916,0.3382,6,145,91,230,89,361,6,0
61.34,86,914,0.3470,6,144,90,230,89,361,6,0
62.34,88,912,0.3320,8,142,90,230,89,361,8,0
63.38,91,909,0.3321,8,140,90,230,89,360,8,0
64.40,94,906,0.3339,8,137,90,230,89,360,8,0
65.41,97,903,0.3360,8,135,90,229,89,360,8,0
66.43,99,901,0.3432,10,133,90,229,89,360,10,0
67.45,105,895,0.3262,10,128,90,229,89,359,10,0
68.45,108,892,0.3188,10,126,90,228,89,359,10,0
69.47,111,889,0.3299,10,124,90,228,88,359,10,0
70.49,115,885,0.3245,10,121,90,227,88,359,10,0
71.51,119,881,0.3117,10,117,90,227,88,359,10,0
72.55,123,877,0.3337,12,114,90,227,88,358,12,0
73.59,128,872,0.3227,12,110,90,227,88,357,12,0
74.60,133,867,0.3119,12,106,90,226,88,357,12,0
75.65,136,864,0.3184,14,103,90,226,88,357,14,0
76.69,141,859,0.3138,14,99,90,226,87,357,14,0
77.70,144,856,0.3094,14,96,90,226,87,357,14,0
78.70,148,852,0.3144,14,93,90,226,87,356,14,0
79.74,152,848,0.3167,12,89,90,226,87,356,12,0
80.76,157,843,0.3006,12,84,90,226,87,356,12,0
81.78,163,837,0.2952,12,80,89,226,86,356,12,0
82.80,170,830,0.2858,12,73,89,226,86,356,12,0
83.82,175,825,0.2779,12,68,89,226,86,356,12,0
84.83,179,821,0.2849,12,66,89,225,85,356,12,0
85.86,183,817,0.2831,14,62,89,225,85,356,14,2
86.90,187,813,0.2772,14,59,89,225,85,355,14,4
87.93,192,808,0.2802,14,55,89,224,85,355,14,4
88.94,197,803,0.2811,14,50,89,224,85,355,14,4
89.99,205,795,0.2641,16,45,89,223,84,354,16,4
90.99,210,790,0.2620,16,42,88,223,84,353,16,4
92.01,215,785,0.2535,18,38,88,223,84,352,18,0
93.02,219,781,0.2499,18,36,88,223,83,351,18,0
94.21,221,779,0.2539,18,34,88,223,83,351,18,2
95.24,225,775,0.2530,18,32,87,222,83,351,18,2
96.25,227,773,0.2435,18,30,87,222,83,351,18,2
97.26,232,768,0.2404,18,26,86,222,83,351,18,2
98.28,237,763,0.2332,18,23,85,221,83,351,18,2
99.31,241,759,0.2288,18,20,85,220,83,351,18,2
100.32,246,754,0.2281,20,17,85,219,83,350,20,0
101.34,252,748,0.2228,20,14,85,218,82,349,20,2
102.37,254,746,0.2244,20,12,85,218,82,349,20,2
103.40,257,743,0.2210,20,11,85,217,81,349,20,2
104.42,259,741,0.2259,20,9,85,217,81,349,20,2
105.45,264,736,0.2203,20,7,85,215,81,348,20,2
106.48,269,731,0.2207,22,4,85,215,81,346,22,0
107.50,273,727,0.2150,22,2,85,215,81,344,22,0
108.54,276,724,0.2161,22,1,85,215,80,343,22,0
109.55,277,723,0.2109,22,0,85,215,80,343,22,0
110.59,278,722,0.2116,22,0,85,214,80,343,22,0
111.62,278,722,0.2166,22,0,85,214,80,343,22,0
112.64,280,720,0.2168,22,0,85,212,80,343,22,0
113.65,282,718,0.2314,22,0,84,211,80,343,22,0
114.68,282,718,0.2319,24,0,84,211,80,343,24,0
115.71,283,717,0.2270,24,0,84,211,80,342,24,0
116.73,285,715,0.2239,26,0,83,211,80,341,26,0
117.76,286,714,0.2249,26,0,83,211,80,340,26,0
118.79,286,714,0.2227,28,0,83,211,80,340,28,0
119.82,288,712,0.2208,28,0,82,211,80,339,28,0
120.82,290,710,0.2293,28,0,82,211,80,337,28,0
121.85,291,709,0.2250,30,0,81,211,80,337,30,0
122.88,293,707,0.2253,30,0,80,211,80,336,30,0
123.89,295,705,0.2296,30,0,80,211,79,335,30,0
124.89,295,705,0.2324,30,0,80,211,79,335,30,0
125.91,298,702,0.2302,30,0,80,210,79,333,30,0
126.93,299,701,0.2281,30,0,80,209,79,333,30,2
127.94,301,699,0.2271,30,0,80,208,79,332,30,2
128.97,301,699,0.2392,30,0,80,208,79,332,30,2
130.00,304,696,0.2408,30,0,80,207,79,330,30,2
131.02,307,693,0.2653,30,0,80,206,78,329,30,2
132.03,309,691,0.2598,32,0,79,206,78,328,32,0
133.05,310,690,0.2627,32,0,79,206,78,327,32,0
134.06,311,689,0.2653,32,0,79,206,78,326,32,0
135.07,313,687,0.2711,32,0,79,206,78,324,32,0
136.14,313,687,0.2719,32,0,79,206,78,324,32,0
137.17,315,685,0.2734,34,0,79,206,77,323,34,0
138.20,317,683,0.2764,34,0,79,205,77,322,34,0
139.32,318,682,0.2793,36,0,79,205,77,321,36,0
140.40,321,679,0.2728,36,0,79,203,76,321,36,0
141.54,322,678,0.2787,36,0,79,203,76,320,36,0
142.80,326,674,0.2761,36,0,78,202,75,319,36,0
143.91,329,671,0.2693,34,0,77,201,74,319,34,0
145.07,334,666,0.2726,34,0,76,199,74,317,34,0
146.12,334,666,0.2725,34,0,76,199,74,317,34,0
147.20,334,666,0.2712,34,0,76,199,74,317,34,0
148.28,336,664,0.2699,36,0,76,197,74,317,36,0
149.41,340,660,0.2622,36,0,76,196,73,315,36,0
150.52,341,659,0.2563,36,0,75,196,73,315,36,2
151.57,341,659,0.2573,36,0,75,196,73,315,36,2
152.70,342,658,0.2580,36,0,75,195,73,315,36,4
153.85,344,656,0.2534,36,0,75,194,73,314,36,4
154.97,345,655,0.2480,36,0,75,193,73,314,36,4
156.08,347,653,0.2526,36,0,75,193,73,312,36,4
157.17,349,651,0.2469,36,0,75,193,73,310,36,2
158.21,350,650,0.2490,36,0,75,193,73,309,36,2
159.31,351,649,0.2416,36,0,75,193,73,308,36,0
160.36,353,647,0.2405,36,0,75,193,71,308,36,2
161.38,354,646,0.2401,36,0,75,192,71,308,36,2
162.46,356,644,0.2370,36,0,75,191,70,308,36,2
163.50,356,644,0.2373,40,0,75,191,70,308,40,2
164.64,358,642,0.2392,40,0,75,189,70,308,40,2
165.69,362,638,0.2283,42,0,75,188,68,307,42,2
166.75,366,634,0.2227,42,0,75,187,67,305,42,0
167.81,371,629,0.2106,42,0,74,187,66,302,42,0
168.82,373,627,0.2058,42,0,73,186,66,302,42,0
169.84,373,627,0.2072,42,0,73,186,66,302,42,0
171.18,375,625,0.2029,42,0,72,186,66,301,42,0
172.49,375,625,0.2048,42,0,72,186,66,301,42,0
173.50,376,624,0.2015,44,0,72,186,66,300,44,0
174.55,376,624,0.2049,44,0,72,186,66,300,44,0
175.59,378,622,0.2001,44,0,72,186,66,298,44,0
176.62,379,621,0.1977,44,0,71,186,66,298,44,0
177.64,381,619,0.1939,44,0,70,186,65,298,44,0
178.95,383,617,0.1920,46,0,70,186,64,297,46,0
179.98,383,617,0.1930,48,0,70,186,64,297,48,0
181.31,386,614,0.1873,48,0,70,185,64,295,48,0
182.61,387,613,0.1830,48,0,70,185,64,294,48,0
183.90,388,612,0.1841,48,0,69,185,64,294,48,0
185.18,388,612,0.1861,48,0,69,185,64,294,48,0
186.52,389,611,0.1833,48,0,69,185,64,293,48,0
187.84,390,610,0.1820,48,0,69,185,64,292,48,0
189.12,392,608,0.1792,48,0,69,184,64,291,48,0
190.13,394,606,0.1745,48,0,69,184,63,290,48,0
191.15,396,604,0.1682,48,0,69,183,63,289,48,0
192.43,396,604,0.1649,48,0,69,183,63,289,48,2
193.71,397,603,0.1640,48,0,69,182,63,289,48,2
194.74,398,602,0.1664,48,0,69,182,62,289,48,2
195.74,399,601,0.1664,48,0,69,181,62,289,48,2
196.75,400,600,0.1588,48,0,69,181,61,289,48,2
198.02,400,600,0.1585,48,0,69,181,61,289,48,2
199.29,402,598,0.1585,48,0,69,180,61,288,48,0
200.57,403,597,0.1566,48,0,69,180,60,288,48,0
201.83,404,596,0.1509,48,0,69,180,60,287,48,0
203.10,406,594,0.1482,48,0,69,180,60,285,48,0
204.40,407,593,0.1427,48,0,69,180,60,284,48,0
205.70,409,591,0.1401,48,0,69,180,60,282,48,0
206.97,411,589,0.1348,48,0,68,180,60,281,48,0
208.22,411,589,0.1350,48,0,68,180,60,281,48,0
209.50,412,588,0.1353,48,0,68,180,60,280,48,0
210.78,414,586,0.1326,48,0,67,180,60,279,48,0
212.05,414,586,0.1326,48,0,67,180,60,279,48,0
213.27,414,586,0.1333,48,0,67,180,60,279,48,0
214.52,418,582,0.1262,48,0,67,179,59,277,48,0
215.52,420,580,0.1221,48,0,67,179,58,276,48,0
216.78,421,579,0.1193,48,0,67,179,58,275,48,0
218.05,422,578,0.1235,48,0,67,179,58,274,48,0
219.30,422,578,0.1267,48,0,67,179,58,274,48,0
220.52,423,577,0.1209,50,0,67,178,58,274,50,0
221.75,426,574,0.1091,50,0,66,176,58,274,50,0
222.87,428,572,0.1111,50,0,66,174,58,274,50,0
224.10,430,570,0.1046,48,0,66,173,58,273,48,0
225.36,430,570,0.1088,48,0,66,173,58,273,48,0
226.62,430,570,0.1108,50,0,66,173,58,273,50,0
227.85,432,568,0.1023,50,0,65,173,58,272,50,0
229.08,433,567,0.1057,50,0,65,172,58,272,50,0
230.31,436,564,0.0965,50,0,65,171,58,270,50,0
231.53,436,564,0.0967,50,0,65,171,58,270,50,0
232.70,436,564,0.0961,50,0,65,171,58,270,50,0
234.23,438,562,0.0945,50,0,63,171,58,270,50,0
235.47,440,560,0.0878,50,0,63,170,58,269,50,0
236.68,441,559,0.0870,50,0,63,170,58,268,50,0
237.92,441,559,0.0842,50,0,63,170,58,268,50,0
239.17,441,559,0.0830,50,0,63,170,58,268,50,0
240.42,441,559,0.0849,50,0,63,170,58,268,50,0
241.57,441,559,0.0857,50,0,63,170,58,268,50,0
242.74,441,559,0.0838,50,0,63,170,58,268,50,0
243.89,441,559,0.0864,50,0,63,170,58,268,50,0
245.06,441,559,0.0861,50,0,63,170,58,268,50,0
246.24,442,558,0.0819,50,0,63,169,58,268,50,0
247.44,442,558,0.0857,50,0,63,169,58,268,50,0
248.59,442,558,0.0859,50,0,63,169,58,268,50,0
249.78,442,558,0.0882,50,0,63,169,58,268,50,0
251.97,443,557,0.0678,50,0,63,169,58,267,50,0
253.17,445,555,0.0720,50,0,63,168,58,266,50,0
254.36,446,554,0.0689,50,0,63,168,58,265,50,0
255.56,446,554,0.0723,50,0,63,168,58,265,50,0
256.73,447,553,0.0700,50,0,63,167,58,265,50,0
257.92,448,552,0.0757,50,0,63,166,58,265,50,0
259.11,450,550,0.0681,50,0,63,165,58,264,50,0
260.31,450,550,0.0725,50,0,63,165,58,264,50,0
261.47,451,549,0.0673,50,0,63,164,58,264,50,0
262.69,452,548,0.0643,50,0,63,164,58,263,50,0
263.82,452,548,0.0629,52,0,63,164,58,263,52,0
265.02,453,547,0.0614,52,0,62,164,58,263,52,0
266.22,454,546,0.0578,52,0,62,164,58,262,52,0
267.36,455,545,0.0543,52,0,62,163,58,262,52,0
268.53,455,545,0.0579,52,0,62,163,58,262,52,0
269.66,455,545,0.0595,52,0,62,163,58,262,52,0
270.79,455,545,0.0601,52,0,62,163,58,262,52,0
271.99,456,544,0.0608,54,0,62,163,58,261,54,0
273.16,456,544,0.0594,54,0,62,163,58,261,54,0
274.29,457,543,0.0596,54,0,62,163,58,260,54,0
275.47,458,542,0.0565,54,0,62,163,58,259,54,0
276.66,459,541,0.0534,54,0,62,163,58,258,54,0
277.79,459,541,0.0528,54,0,62,163,58,258,54,0
278.95,459,541,0.0523,54,0,62,163,58,258,54,0
280.09,459,541,0.0523,54,0,62,163,58,258,54,0
281.22,459,541,0.0539,54,0,62,163,58,258,54,0
282.32,459,541,0.0539,54,0,62,163,58,258,54,0
283.49,459,541,0.0523,54,0,62,163,58,258,54,0
284.64,459,541,0.0589,54,0,62,163,58,258,54,0
285.80,459,541,0.0600,54,0,62,163,58,258,54,0
286.91,459,541,0.0608,54,0,62,163,58,258,54,0
288.04,459,541,0.0653,54,0,62,163,58,258,54,0
289.41,459,541,0.0650,54,0,62,163,58,258,54,0
290.56,460,540,0.0676,54,0,62,162,58,258,54,0
291.71,460,540,0.0669,54,0,62,162,58,258,54,0
292.85,460,540,0.0690,54,0,62,162,58,258,54,0
293.98,463,537,0.0612,54,0,61,161,58,257,54,0
295.14,463,537,0.0552,54,0,61,161,58,257,54,0
296.27,463,537,0.0542,54,0,61,161,58,257,54,0
297.40,463,537,0.0566,54,0,61,161,58,257,54,0
298.51,463,537,0.0575,54,0,61,161,58,257,54,0
299.66,463,537,0.0602,54,0,61,161,58,257,54,0
300.81,463,537,0.0591,54,0,61,161,58,257,54,0
301.94,463,537,0.0629,54,0,61,161,58,257,54,0
303.04,463,537,0.0607,54,0,61,161,58,257,54,0
304.18,463,537,0.0641,54,0,61,161,58,257,54,0
305.34,463,537,0.0629,54,0,61,161,58,257,54,0
306.47,463,537,0.0637,54,0,61,161,58,257,54,0
307.60,463,537,0.0669,54,0,61,161,58,257,54,0
308.74,463,537,0.0649,54,0,61,161,58,257,54,0
309.88,464,536,0.0640,54,0,60,161,58,257,54,0
311.07,465,535,0.0601,54,0,60,161,58,256,54,0
312.20,466,534,0.0594,54,0,59,161,58,256,54,0
313.21,466,534,0.0596,54,0,59,161,58,256,54,0
314.49,466,534,0.0632,54,0,59,161,58,256,54,0
315.62,466,534,0.0645,54,0,59,161,58,256,54,0
316.73,466,534,0.0644,54,0,59,161,58,256,54,0
317.84,467,533,0.0620,54,0,59,161,58,255,54,0
319.00,467,533,0.0613,54,0,59,161,58,255,54,0
320.17,467,533,0.0626,54,0,59,161,58,255,54,2
321.73,467,533,0.0593,54,0,59,161,58,255,54,2
322.84,468,532,0.0594,54,0,58,161,58,255,54,2
323.97,469,531,0.0587,54,0,58,161,58,254,54,2
325.12,470,530,0.0595,54,0,57,161,58,254,54,2
326.32,470,530,0.0573,54,0,57,161,58,254,54,0
327.48,470,530,0.0590,54,0,57,161,58,254,54,0
328.59,471,529,0.0565,54,0,57,161,58,253,54,2
329.75,471,529,0.0547,54,0,57,161,58,253,54,2
330.89,472,528,0.0529,54,0,57,161,57,253,54,2
332.01,472,528,0.0542,54,0,57,161,57,253,54,2
333.13,472,528,0.0534,54,0,57,161,57,253,54,2
334.21,472,528,0.0523,54,0,57,161,57,253,54,2
335.36,473,527,0.0494,54,0,57,161,57,252,54,0
336.53,475,525,0.0490,54,0,57,160,57,251,54,0
337.66,475,525,0.0575,54,0,57,160,57,251,54,0
338.77,475,525,0.0631,54,0,57,160,57,251,54,0
339.89,475,525,0.0594,54,0,57,160,57,251,54,0
340.99,475,525,0.0574,54,0,57,160,57,251,54,0
342.12,475,525,0.0608,54,0,57,160,57,251,54,0
343.22,475,525,0.0627,54,0,57,160,57,251,54,0
344.31,475,525,0.0611,54,0,57,160,57,251,54,0
345.42,475,525,0.0630,54,0,57,160,57,251,54,0
346.52,475,525,0.0632,54,0,57,160,57,251,54,0
347.63,475,525,0.0620,54,0,57,160,57,251,54,0
348.76,475,525,0.0631,54,0,57,160,57,251,54,0
349.91,475,525,0.0661,54,0,57,160,57,251,54,0
351.05,476,524,0.0607,54,0,56,160,57,251,54,0
352.19,477,523,0.0605,54,0,56,159,57,251,54,0
353.34,479,521,0.0655,54,0,55,158,57,251,54,0
354.44,479,521,0.0620,54,0,55,158,57,251,54,0
355.60,479,521,0.0651,54,0,55,158,57,251,54,0
356.70,479,521,0.0661,54,0,55,158,57,251,54,0
357.79,479,521,0.0644,54,0,55,158,57,251,54,0
358.88,479,521,0.0669,54,0,55,158,57,251,54,0
360.01,479,521,0.0693,54,0,55,158,57,251,54,0
361.10,479,521,0.0680,54,0,55,158,57,251,54,0
362.19,479,521,0.0712,56,0,55,158,57,251,56,0
363.29,480,520,0.0661,56,0,55,158,57,250,56,0
364.41,480,520,0.0638,56,0,55,158,57,250,56,0
365.55,481,519,0.0641,54,0,55,158,56,250,54,0
366.68,481,519,0.0649,54,0,55,158,56,250,54,0
367.80,481,519,0.0610,54,0,55,158,56,250,54,0
368.89,481,519,0.0618,54,0,55,158,56,250,54,0
369.99,482,518,0.0616,54,0,54,158,56,250,54,0
371.17,482,518,0.0636,54,0,54,158,56,250,54,0
372.27,482,518,0.0617,54,0,54,158,56,250,54,0
373.37,484,516,0.0616,54,0,54,156,56,250,54,0
374.48,484,516,0.0621,54,0,54,156,56,250,54,0
375.62,485,515,0.0639,54,0,54,156,56,249,54,0
376.74,485,515,0.0628,54,0,54,156,56,249,54,0
377.82,485,515,0.0649,54,0,54,156,56,249,54,0
378.91,486,514,0.0651,54,0,54,155,56,249,54,0
380.06,486,514,0.0638,54,0,54,155,56,249,54,0
381.29,486,514,0.0633,54,0,54,155,56,249,54,0
382.37,486,514,0.0648,54,0,54,155,56,249,54,0
383.47,486,514,0.0623,54,0,54,155,56,249,54,0
384.56,486,514,0.0601,54,0,54,155,56,249,54,0
385.69,487,513,0.0591,54,0,54,154,56,249,54,0
386.81,487,513,0.0586,54,0,54,154,56,249,54,0
387.92,488,512,0.0571,54,0,53,154,56,249,54,0
389.03,489,511,0.0573,54,0,53,153,56,249,54,0
390.15,489,511,0.0562,54,0,53,153,56,249,54,2
391.25,489,511,0.0580,54,0,53,153,56,249,54,2
392.36,489,511,0.0581,54,0,53,153,56,249,54,2
393.46,489,511,0.0582,54,0,53,153,56,249,54,2
394.64,489,511,0.0564,54,0,53,153,56,249,54,2
395.75,489,511,0.0576,54,0,53,153,56,249,54,2
396.85,489,511,0.0586,54,0,53,153,56,249,54,0
397.95,490,510,0.0564,54,0,53,152,56,249,54,0
399.09,490,510,0.0558,54,0,53,152,56,249,54,0
400.21,490,510,0.0564,54,0,53,152,56,249,54,0
401.31,490,510,0.0574,54,0,53,152,56,249,54,0
402.40,490,510,0.0579,54,0,53,152,56,249,54,0
403.49,490,510,0.0611,54,0,53,152,56,249,54,2
404.55,490,510,0.0584,54,0,53,152,56,249,54,2
405.67,490,510,0.0586,54,0,53,152,56,249,54,2
406.76,491,509,0.0572,54,0,53,152,56,248,54,2
407.84,491,509,0.0572,54,0,53,152,56,248,54,2
408.99,491,509,0.0545,54,0,53,152,56,248,54,2
410.06,491,509,0.0542,54,0,53,152,56,248,54,0
411.16,491,509,0.0540,54,0,53,152,56,248,54,0
412.26,491,509,0.0534,54,0,53,152,56,248,54,0
413.34,491,509,0.0556,54,0,53,152,56,248,54,0
414.45,491,509,0.0550,54,0,53,152,56,248,54,0
415.55,491,509,0.0564,54,0,53,152,56,248,54,0
416.64,491,509,0.0556,54,0,53,152,56,248,54,0
417.74,492,508,0.0597,54,0,52,152,56,248,54,0
418.87,492,508,0.0595,54,0,52,152,56,248,54,0
419.98,492,508,0.0593,54,0,52,152,56,248,54,0
421.07,492,508,0.0583,54,0,52,152,56,248,54,0
422.14,492,508,0.0582,54,0,52,152,56,248,54,0
423.23,492,508,0.0605,54,0,52,152,56,248,54,0
424.31,492,508,0.0614,54,0,52,152,56,248,54,0
425.39,492,508,0.0639,54,0,52,152,56,248,54,0
426.49,492,508,0.0672,54,0,52,152,56,248,54,0
427.57,492,508,0.0667,54,0,52,152,56,248,54,0
428.64,492,508,0.0664,54,0,52,152,56,248,54,0
429.72,492,508,0.0657,54,0,52,152,56,248,54,0
430.83,492,508,0.0667,54,0,52,152,56,248,54,0
431.91,493,507,0.0650,54,0,52,152,56,247,54,0
433.05,494,506,0.0629,54,0,52,152,56,246,54,0
434.14,495,505,0.0610,54,0,52,152,56,245,54,0
435.30,496,504,0.0571,54,0,52,151,56,245,54,0
436.48,496,504,0.0563,54,0,52,151,56,245,54,0
437.57,496,504,0.0592,54,0,52,151,56,245,54,0
438.74,496,504,0.0626,54,0,52,151,56,245,54,0
439.81,496,504,0.0709,56,0,52,151,56,245,56,0
440.97,496,504,0.0684,56,0,52,151,56,245,56,0
442.04,497,503,0.0675,56,0,52,151,56,244,56,0
443.14,497,503,0.0713,56,0,52,151,56,244,56,0
444.23,497,503,0.0741,56,0,52,151,56,244,56,0
445.30,497,503,0.0727,56,0,52,151,56,244,56,0
446.39,497,503,0.0732,56,0,52,151,56,244,56,0
447.44,497,503,0.0746,56,0,52,151,56,244,56,0
448.53,497,503,0.0738,56,0,52,151,56,244,56,0
449.66,498,502,0.0712,56,0,52,151,55,244,56,0
450.74,500,500,0.0686,56,0,52,150,55,243,56,0
451.85,500,500,0.0735,56,0,52,150,55,243,56,0
452.94,500,500,0.0722,56,0,52,150,55,243,56,0
454.00,500,500,0.0738,56,0,52,150,55,243,56,0
455.06,501,499,0.0686,56,0,51,150,55,243,56,0
456.20,502,498,0.0704,56,0,50,150,55,243,56,0
457.27,502,498,0.0684,56,0,50,150,55,243,56,0
458.37,503,497,0.0643,56,0,50,149,55,243,56,0
459.49,504,496,0.0615,56,0,50,149,55,242,56,0
460.55,504,496,0.0613,56,0,50,149,55,242,56,0
461.63,504,496,0.0582,56,0,50,149,55,242,56,0
462.71,504,496,0.0614,56,0,50,149,55,242,56,0
463.77,504,496,0.0633,56,0,50,149,55,242,56,0
464.82,504,496,0.0660,56,0,50,149,55,242,56,0
465.90,504,496,0.0665,58,0,50,149,55,242,58,0
466.96,505,495,0.0638,58,0,50,149,55,241,58,0
468.02,505,495,0.0624,58,0,50,149,55,241,58,0
469.15,505,495,0.0664,58,0,50,149,55,241,58,0
470.21,505,495,0.0669,58,0,50,149,55,241,58,0
471.28,505,495,0.0676,58,0,50,149,55,241,58,0
472.32,506,494,0.0661,58,0,50,148,55,241,58,0
473.37,506,494,0.0678,58,0,50,148,55,241,58,0
474.46,506,494,0.0660,58,0,50,148,55,241,58,0
475.53,506,494,0.0668,58,0,50,148,55,241,58,0
476.67,506,494,0.0695,58,0,50,148,55,241,58,0
477.73,507,493,0.0646,58,0,49,148,55,241,58,0
478.83,507,493,0.0667,58,0,49,148,55,241,58,0
479.92,507,493,0.0603,58,0,49,148,55,241,58,0
480.97,507,493,0.0654,58,0,49,148,55,241,58,0
482.02,507,493,0.0706,58,0,49,148,55,241,58,0
483.07,508,492,0.0638,60,0,48,148,55,241,60,0
484.12,509,491,0.0676,60,0,48,148,55,240,60,0
485.23,510,490,0.0664,60,0,48,147,55,240,60,0
486.30,510,490,0.0634,60,0,48,147,55,240,60,0
487.40,510,490,0.0653,60,0,48,147,55,240,60,0
488.43,510,490,0.0652,60,0,48,147,55,240,60,0
489.47,510,490,0.0641,60,0,48,147,55,240,60,0
490.52,510,490,0.0645,60,0,48,147,55,240,60,2
491.58,510,490,0.0650,60,0,48,147,55,240,60,2
492.63,510,490,0.0628,60,0,48,147,55,240,60,2
493.67,510,490,0.0609,60,0,48,147,55,240,60,2
494.72,510,490,0.0645,60,0,48,147,55,240,60,2
495.77,510,490,0.0670,62,0,48,147,55,240,62,0
496.83,510,490,0.0658,62,0,48,147,55,240,62,0
497.89,511,489,0.0660,62,0,48,147,55,239,62,0
498.94,511,489,0.0648,62,0,48,147,55,239,62,0
500.03,512,488,0.0603,62,0,48,147,55,238,62,0
501.20,514,486,0.0541,62,0,48,145,55,238,62,0
502.28,514,486,0.0545,62,0,48,145,55,238,62,0
503.35,514,486,0.0551,62,0,48,145,55,238,62,0
504.44,515,485,0.0533,62,0,48,145,55,237,62,0
505.49,515,485,0.0525,62,0,48,145,55,237,62,0
506.55,515,485,0.0570,62,0,48,145,55,237,62,0
507.61,515,485,0.0603,62,0,48,145,55,237,62,0
508.66,515,485,0.0623,62,0,48,145,55,237,62,0
509.69,516,484,0.0608,62,0,48,144,55,237,62,0
510.78,516,484,0.0647,62,0,48,144,55,237,62,0
511.84,517,483,0.0586,62,0,48,144,55,236,62,0
512.88,517,483,0.0646,62,0,48,144,55,236,62,0
513.95,517,483,0.0644,62,0,48,144,55,236,62,0
515.00,517,483,0.0694,62,0,48,144,55,236,62,0
516.05,517,483,0.0677,62,0,48,144,55,236,62,0
517.09,517,483,0.0662,62,0,48,144,55,236,62,0
518.14,517,483,0.0685,62,0,48,144,55,236,62,0
519.18,517,483,0.0717,62,0,48,144,55,236,62,0
520.23,517,483,0.0732,62,0,48,144,55,236,62,0
521.28,517,483,0.0727,62,0,48,144,55,236,62,0
522.31,517,483,0.0763,62,0,48,144,55,236,62,0
523.40,517,483,0.0761,62,0,48,144,55,236,62,0
524.45,518,482,0.0722,62,0,47,144,55,236,62,0
